GO
INSERT INTO Owners (Owner_id, Phone, Email) VALUES
    (0, '979-319-5150', 'bxbodoyr@hotmail.com'),
    (1, '021-418-3130', NULL),
    (2, '408-160-3853', 'pszzygl@outlook.com'),
    (3, NULL, 'wpwbwdaxhf@hotmail.com'),
    (4, '748-736-4679', 'lrlvv@gmail.com'),
    (5, '372-783-2060', 'uljylnxhg@gmail.com'),
    (6, NULL, 'ygqskemejmgk@hotmail.com'),
    (7, '164-625-1098', 'mpnqwa@outlook.com'),
    (8, '805-187-8740', 'ypuvxwypnkv@geocities.org'),
    (9, '793-814-6259', 'bbchdwzlnor@gmail.com'),
    (10, '029-696-0188', 'zdwonwr@outlook.com'),
    (11, '657-997-0016', 'gklzhdmhu@outlook.com'),
    (12, NULL, 'kwpbztpzdc@gmail.com'),
    (13, '158-744-3422', 'fxlqskbby@outlook.com'),
    (14, '238-872-6250', 'uswnhyjso@geocities.org'),
    (15, '157-073-8233', NULL),
    (16, '904-723-7593', 'olmrqtionv@geocities.org'),
    (17, '648-448-4369', 'atscneb@gmail.com'),
    (18, NULL, 'sdhmnlm@outlook.com'),
    (19, NULL, 'jfrxnbwmllks@outlook.com'),
    (20, NULL, 'lpgzpgecwafg@geocities.org'),
    (21, '279-462-0223', 'zsuyunmphidn@outlook.com'),
    (22, NULL, 'xfrtyhujyirb@hotmail.com'),
    (23, '321-540-8291', 'virag@outlook.com'),
    (24, '792-203-6285', 'tkyek@geocities.org'),
    (25, '289-835-1292', NULL),
    (26, '327-518-7230', 'gwjdmlhstk@outlook.com'),
    (27, '806-312-9088', 'lzoznwuyaaua@outlook.com'),
    (28, '517-313-6726', NULL),
    (29, '211-074-8354', 'yteyoex@outlook.com'),
    (30, '090-050-5925', 'odnlhz@geocities.org'),
    (31, '567-167-2303', 'pawnpxkgveb@gmail.com'),
    (32, '205-746-1501', 'lzeqjrz@geocities.org'),
    (33, '444-814-8123', 'deipipkhcawl@geocities.org'),
    (34, '353-335-2187', 'anrjgihcebc@hotmail.com'),
    (35, '192-788-2570', NULL),
    (36, '574-382-7141', 'swbnrklzt@gmail.com'),
    (37, '693-952-2283', 'knpxb@gmail.com'),
    (38, '016-486-5321', 'cmstgqlwj@gmail.com'),
    (39, '004-391-9128', 'ehzhdmk@hotmail.com'),
    (40, '908-889-4558', 'vqwbbihuvx@outlook.com'),
    (41, '018-345-7493', 'gflryu@geocities.org'),
    (42, '106-069-2691', 'qftbbkcknr@gmail.com'),
    (43, '404-390-8669', 'zdtstycys@gmail.com'),
    (44, '061-001-1412', 'sjadgp@outlook.com'),
    (45, NULL, 'gxmowyrznw@outlook.com'),
    (46, '329-599-2819', 'jyzzsqgsqom@hotmail.com'),
    (47, '973-035-8183', 'nptaarzfs@gmail.com'),
    (48, '191-229-4713', 'wsmsjxga@gmail.com'),
    (49, '113-133-0485', 'svaeb@geocities.org'),
    (50, '466-419-2169', 'emirblrujvdx@geocities.org'),
    (51, '196-280-6084', 'lytogamxim@outlook.com'),
    (52, '223-573-8147', NULL),
    (53, '712-593-1208', NULL),
    (54, '897-952-5285', 'yyeukkis@geocities.org'),
    (55, '862-886-1944', 'mgdkd@outlook.com'),
    (56, '896-713-7796', 'zroutd@hotmail.com'),
    (57, '542-772-8963', 'eslsa@geocities.org'),
    (58, '439-224-2559', 'vvuutpa@outlook.com'),
    (59, '906-587-8948', 'xmzfck@gmail.com'),
    (60, NULL, 'ukyfeganuy@hotmail.com'),
    (61, '728-887-4946', 'chwjfqeuukh@outlook.com'),
    (62, NULL, 'naronczkts@geocities.org'),
    (63, '177-260-6183', 'gcgcscbwda@geocities.org'),
    (64, NULL, 'mexqmn@geocities.org'),
    (65, '598-745-9876', 'hlipxpsuxx@geocities.org'),
    (66, NULL, 'dmplv@outlook.com'),
    (67, '816-831-6132', 'kwfdbyt@gmail.com'),
    (68, '522-101-1200', 'svbimwy@outlook.com'),
    (69, '472-565-9881', 'cuajs@hotmail.com'),
    (70, NULL, 'uzdsv@gmail.com'),
    (71, '966-380-2320', 'ujiwxmab@outlook.com'),
    (72, NULL, 'pneuoh@hotmail.com'),
    (73, '290-867-1869', 'hitmcuqiodr@outlook.com'),
    (74, '397-054-8953', 'unjyrtvrt@outlook.com'),
    (75, '287-167-0534', 'hwyhg@hotmail.com'),
    (76, '264-183-9839', 'ngsjsium@hotmail.com'),
    (77, '527-832-1236', 'vnwrngdb@hotmail.com'),
    (78, '087-410-9275', 'dwundpothpe@hotmail.com'),
    (79, '969-534-6106', 'cipoysfvkxyj@geocities.org'),
    (80, '771-634-0837', 'kbodrce@outlook.com'),
    (81, '768-922-1663', 'ubxsbhuibfy@geocities.org'),
    (82, '712-676-0732', 'cgwioieitz@gmail.com'),
    (83, NULL, 'shhdi@gmail.com'),
    (84, '169-191-7663', 'ydqhdp@hotmail.com'),
    (85, '856-570-9783', 'fobfmdex@gmail.com'),
    (86, NULL, 'ovcnyxnmo@gmail.com'),
    (87, '987-886-8817', 'ydyaqjwvpmp@hotmail.com'),
    (88, '497-964-5150', 'etqlhhpadn@outlook.com'),
    (89, '232-264-3453', 'rdvaopspzb@hotmail.com'),
    (90, '738-857-8514', 'onidqzjaqsb@outlook.com'),
    (91, '189-167-5321', 'ihtvhguvu@gmail.com'),
    (92, '978-967-4468', 'xgsaeeadkom@hotmail.com'),
    (93, NULL, 'bvqcs@geocities.org'),
    (94, '107-782-0852', 'pcdmu@gmail.com'),
    (95, '393-680-2843', 'aucgfncbsj@geocities.org'),
    (96, '658-553-9780', 'hadpn@outlook.com'),
    (97, '139-192-8911', NULL),
    (98, '574-867-4949', 'xqsloii@geocities.org'),
    (99, '448-700-5989', 'gvbpbawx@outlook.com'),
    (100, '650-889-5715', NULL),
    (101, '159-083-5021', 'egiplgcfvf@hotmail.com'),
    (102, '978-667-7807', 'sbyabmck@outlook.com'),
    (103, '860-889-1497', 'yugbwsvzfo@outlook.com'),
    (104, '590-152-7959', 'yfxirrkzgj@outlook.com'),
    (105, '293-559-4919', 'zfpjl@gmail.com'),
    (106, '020-688-8686', 'layrejvxzdy@outlook.com'),
    (107, '708-496-8549', 'ofagmwdcz@hotmail.com'),
    (108, '388-534-5184', 'wefnpxqu@outlook.com'),
    (109, '947-858-4087', 'ftxpowqjsytj@hotmail.com'),
    (110, NULL, 'qlwsem@gmail.com'),
    (111, '492-941-6056', 'yyprv@gmail.com'),
    (112, '847-700-6979', 'mfzzgbqdjsxx@hotmail.com'),
    (113, '316-058-4019', 'hisypzbwtw@gmail.com'),
    (114, NULL, 'smpyoecbmy@geocities.org'),
    (115, '781-015-3832', 'vqyfdyzi@outlook.com'),
    (116, '026-387-8602', 'fxapmqyumi@geocities.org'),
    (117, '201-443-2964', 'dhsikdgkql@gmail.com'),
    (118, NULL, 'ifgncdh@outlook.com'),
    (119, '360-685-8513', 'ynwowhne@hotmail.com'),
    (120, '778-070-1196', 'rjxllgkymm@outlook.com'),
    (121, '806-752-8082', 'kfquuxrsftw@gmail.com'),
    (122, '783-924-4767', 'kteaw@geocities.org'),
    (123, '105-726-6566', 'ibpimpaclxk@hotmail.com'),
    (124, '149-157-6961', 'qsaoq@geocities.org'),
    (125, NULL, 'ugjkfmclqyl@outlook.com'),
    (126, '221-039-8742', 'vttcmfrdtl@geocities.org'),
    (127, '097-585-2856', 'bpytg@geocities.org'),
    (128, '338-363-2640', 'rrwnnipts@outlook.com'),
    (129, '687-745-6068', 'zgjdj@outlook.com'),
    (130, '752-867-3933', 'xdvguka@gmail.com'),
    (131, '819-191-7754', 'fnrohzle@hotmail.com'),
    (132, '401-042-8381', 'cjwlsjegwrax@geocities.org'),
    (133, '169-061-8090', 'hfvgdkziifg@outlook.com'),
    (134, '606-004-2188', 'jlpjmj@gmail.com'),
    (135, '264-848-9238', 'hjqovtpqm@geocities.org'),
    (136, '323-845-0040', 'wlukf@gmail.com'),
    (137, '332-529-8283', 'eehqn@outlook.com'),
    (138, '183-546-9262', NULL),
    (139, '230-841-2264', 'qajuhtpuafwz@hotmail.com'),
    (140, '073-688-2894', 'cgftbinxqddf@gmail.com'),
    (141, NULL, 'vikrb@gmail.com'),
    (142, '215-852-0610', 'jvufccivigal@hotmail.com'),
    (143, NULL, 'seiskxisjb@hotmail.com'),
    (144, '751-300-9700', 'kzvkpqa@hotmail.com'),
    (145, '501-729-0014', 'ywtbsnii@geocities.org'),
    (146, '104-130-0321', 'tgxqcrltnp@geocities.org'),
    (147, '443-168-2804', 'awhmgjtcx@outlook.com'),
    (148, '234-414-2028', 'jpxlavopoyje@gmail.com'),
    (149, '065-155-5126', 'iuwzxugeca@outlook.com'),
    (150, '948-683-2126', 'phtfkgngbqob@gmail.com'),
    (151, NULL, 'gjvcthivgho@geocities.org'),
    (152, '014-972-2477', NULL),
    (153, '534-902-7664', 'kujte@geocities.org'),
    (154, NULL, 'fhcjkaeiurx@outlook.com'),
    (155, '629-444-2115', 'mujcgn@gmail.com'),
    (156, '457-872-0234', 'ozxqhzmghdyx@outlook.com'),
    (157, '926-608-0762', 'tqpxbytepxw@outlook.com'),
    (158, '771-794-3189', 'jfhwscioxn@hotmail.com'),
    (159, '561-493-7017', 'qatzmq@outlook.com'),
    (160, '867-729-2411', 'xpszkstcswt@geocities.org'),
    (161, '720-333-5073', 'dwuwecfit@hotmail.com'),
    (162, '865-939-7030', 'xwwzwdwuz@hotmail.com'),
    (163, '764-731-2622', 'uirhkhewysy@geocities.org'),
    (164, '355-931-2287', 'dcjpb@hotmail.com'),
    (165, '522-967-5962', 'egvsqbnwpyud@outlook.com'),
    (166, NULL, 'tilryhowvtjk@geocities.org'),
    (167, '916-488-1014', 'ajmtewebjxoi@hotmail.com'),
    (168, '439-243-2458', 'pfupqpdo@geocities.org'),
    (169, '092-736-1441', 'zdjxktqkeggc@outlook.com'),
    (170, '591-121-8816', NULL),
    (171, '839-814-3721', 'frhxuaaoa@hotmail.com'),
    (172, '878-020-1512', 'nugoajri@gmail.com'),
    (173, '294-792-0799', NULL),
    (174, '108-419-0082', 'vnfgiyegxhg@gmail.com'),
    (175, '091-144-2925', 'ksylrblcnw@hotmail.com'),
    (176, '265-456-7719', 'uputewnlwx@hotmail.com'),
    (177, '820-690-0888', 'vvxuexzp@hotmail.com'),
    (178, '213-942-9964', 'xtliemg@geocities.org'),
    (179, '332-317-8503', 'dulbkrj@geocities.org'),
    (180, '961-983-9055', 'cetmhmdkovf@gmail.com'),
    (181, '030-740-8282', 'gfortliih@hotmail.com'),
    (182, '918-527-5786', NULL),
    (183, NULL, 'hdcjw@geocities.org'),
    (184, '393-662-0533', 'ssutqa@geocities.org'),
    (185, '646-139-9936', 'wycxonrpuz@outlook.com'),
    (186, '240-536-1113', 'daceixpojgat@hotmail.com'),
    (187, '739-394-1465', 'kqcdof@hotmail.com'),
    (188, '658-389-1593', 'ftjywxcalnf@geocities.org'),
    (189, NULL, 'kvejlw@geocities.org'),
    (190, NULL, 'mimwsdfdst@gmail.com'),
    (191, '575-707-2571', 'trjwo@geocities.org'),
    (192, '560-639-2106', 'ctlbtzjepabh@outlook.com'),
    (193, '462-402-0444', 'jlahxpe@geocities.org'),
    (194, '581-048-6989', 'dnwrs@gmail.com'),
    (195, '377-849-7458', 'uwpmncc@gmail.com'),
    (196, '846-083-8994', 'jwlrzb@outlook.com'),
    (197, '023-876-4607', 'jzfwnup@hotmail.com'),
    (198, '719-830-5501', 'dncqq@hotmail.com'),
    (199, '715-598-6606', 'ulrtjcmjfl@geocities.org'),
    (200, '849-875-0211', 'uadcuuwra@gmail.com'),
    (201, '760-840-7357', 'vxbyvq@hotmail.com'),
    (202, '382-749-6832', 'fmmzfqok@gmail.com'),
    (203, '415-152-3697', 'vmzusd@hotmail.com'),
    (204, '675-605-5009', 'qyilg@gmail.com'),
    (205, '676-361-3692', 'fjificdpsl@gmail.com'),
    (206, '749-261-9687', 'chtyntuodik@outlook.com'),
    (207, '186-234-4175', 'mblgncikm@outlook.com'),
    (208, '927-888-0695', 'nrnea@hotmail.com'),
    (209, '652-941-1434', 'njgxigeshow@hotmail.com'),
    (210, '609-974-3957', NULL),
    (211, '325-600-6570', 'ogyzxlugacov@hotmail.com'),
    (212, '565-948-7916', NULL),
    (213, '085-064-0636', 'inuzolbq@geocities.org'),
    (214, '826-521-7353', NULL),
    (215, '622-430-3843', 'satwiagmtjr@outlook.com'),
    (216, '345-665-3767', 'pqzdjp@hotmail.com'),
    (217, '711-952-4698', 'dzimggqdap@hotmail.com'),
    (218, '398-128-1124', 'qfghprwax@geocities.org'),
    (219, '235-419-1641', 'mmijytadly@hotmail.com'),
    (220, NULL, 'ncnubff@outlook.com'),
    (221, NULL, 'clmpfdptpxln@gmail.com'),
    (222, '657-130-1667', 'szidsdvzero@geocities.org'),
    (223, '978-515-9246', 'xtmdw@outlook.com'),
    (224, '132-102-6102', 'zjxltsrnnkff@hotmail.com'),
    (225, '280-577-3215', 'gdjmefo@hotmail.com'),
    (226, '564-019-9642', 'njlkk@outlook.com'),
    (227, '929-663-1392', 'dpcfivcg@hotmail.com'),
    (228, '423-801-6029', 'mfxuuxwgz@outlook.com'),
    (229, '354-335-9864', 'vggpls@geocities.org'),
    (230, '687-593-0289', 'wthczykpd@outlook.com'),
    (231, '588-488-1272', 'krqwoeppu@hotmail.com'),
    (232, NULL, 'xjyzqav@outlook.com'),
    (233, NULL, 'ixema@gmail.com'),
    (234, '993-334-0079', 'yahihuyqn@outlook.com'),
    (235, '483-078-8544', 'xaeezcobm@gmail.com'),
    (236, '490-686-7592', 'obhsipdglpae@geocities.org'),
    (237, '748-086-7670', 'tibzafear@hotmail.com'),
    (238, NULL, 'osrdle@hotmail.com'),
    (239, '157-946-4251', 'eqzfibwymb@hotmail.com'),
    (240, '893-713-3799', NULL),
    (241, '068-083-2675', 'puugpqj@gmail.com'),
    (242, NULL, 'atovvtib@gmail.com'),
    (243, '611-201-3306', 'ixslwzvzsr@outlook.com'),
    (244, '708-120-5084', 'nhfjcdiwh@gmail.com'),
    (245, '296-888-8713', 'mhvsfsbmr@hotmail.com'),
    (246, '721-145-8728', 'dkazgvmawt@geocities.org'),
    (247, '885-335-0012', 'npqyae@geocities.org'),
    (248, NULL, 'ogblpjaoggo@gmail.com'),
    (249, '498-632-4863', 'ktzexey@hotmail.com'),
    (250, '926-755-3032', 'eopzrll@hotmail.com'),
    (251, '436-265-7697', NULL),
    (252, '729-568-6552', 'floxpkafoupo@outlook.com'),
    (253, '144-617-9519', 'ftgmbflt@geocities.org'),
    (254, '158-428-4333', 'xxyvia@geocities.org'),
    (255, '010-098-8356', 'uhrfheqy@geocities.org'),
    (256, '152-687-1655', NULL),
    (257, '390-694-0875', 'tgpcogwk@gmail.com'),
    (258, NULL, 'bjczhmb@hotmail.com'),
    (259, '575-764-2830', 'hkerphzp@outlook.com'),
    (260, NULL, 'cstoiopzrugt@hotmail.com'),
    (261, '292-585-5566', 'yhkzkeuzjqru@outlook.com'),
    (262, '015-931-0910', 'axeimcfj@hotmail.com'),
    (263, '688-995-9738', 'eyhqfl@hotmail.com'),
    (264, NULL, 'tlfsg@geocities.org'),
    (265, '416-785-5062', 'ydaxohaxpwjz@outlook.com'),
    (266, '681-056-1845', 'ryxco@hotmail.com'),
    (267, '633-940-4590', 'riopypvcuiqy@geocities.org'),
    (268, '095-016-9906', 'fnhncyei@gmail.com'),
    (269, '139-184-4395', 'tkfjssic@gmail.com'),
    (270, '894-918-3756', 'fdshy@outlook.com'),
    (271, '947-872-0899', 'mlxeh@outlook.com'),
    (272, '477-180-8556', 'rnvezme@geocities.org'),
    (273, '271-846-3843', 'qdgvzdkgf@gmail.com'),
    (274, '686-072-1974', 'utteycutqs@outlook.com'),
    (275, '658-308-5737', 'xccjxtj@geocities.org'),
    (276, '804-178-5993', 'ouogzstw@outlook.com'),
    (277, '124-441-0461', 'nkktdy@hotmail.com'),
    (278, '700-763-8539', 'hthhdt@outlook.com'),
    (279, '648-596-5269', 'amzukwmhk@outlook.com'),
    (280, '765-053-5162', 'wueod@gmail.com'),
    (281, '340-617-2733', 'kxdhwf@hotmail.com'),
    (282, NULL, 'seyoxyvuu@hotmail.com'),
    (283, '858-971-2009', 'qldleqegvkx@outlook.com'),
    (284, '099-326-1598', 'fwriefmw@gmail.com'),
    (285, '178-561-3191', 'nyygbqtzzad@geocities.org'),
    (286, '932-345-3545', NULL),
    (287, '988-651-9373', 'zsdbenswowvt@geocities.org'),
    (288, '332-203-0025', 'qynzhnr@gmail.com'),
    (289, NULL, 'hxjmhxonume@hotmail.com'),
    (290, '951-974-4108', 'mkekb@hotmail.com'),
    (291, '480-666-9513', 'hxeuetu@gmail.com'),
    (292, '870-704-8243', 'hmnmy@geocities.org'),
    (293, '665-745-9085', 'vnfgqet@outlook.com'),
    (294, NULL, 'beimrxkaso@hotmail.com'),
    (295, '090-936-2877', 'zfznvopyrd@geocities.org'),
    (296, '102-982-3813', 'jxvqlj@gmail.com'),
    (297, NULL, 'tspaje@gmail.com'),
    (298, '171-735-0016', 'kpjnauwqwx@outlook.com'),
    (299, NULL, 'aqzpoxez@hotmail.com'),
    (300, '842-240-7279', NULL),
    (301, '736-637-1707', 'gaqpluu@gmail.com'),
    (302, '833-354-7921', 'jebtytub@gmail.com'),
    (303, '986-685-2528', 'fvkktzcfotnb@hotmail.com'),
    (304, '553-310-4509', 'pvkcaatfbq@geocities.org'),
    (305, NULL, 'suhluwkox@gmail.com'),
    (306, '485-194-6878', 'ovmhqul@geocities.org'),
    (307, '474-902-3370', 'uqbancw@geocities.org'),
    (308, '319-926-7151', 'hfuhlap@geocities.org'),
    (309, '070-570-2808', 'sauuiy@hotmail.com'),
    (310, '534-209-5861', 'yappu@outlook.com'),
    (311, '205-194-4949', 'yvyksp@gmail.com'),
    (312, '907-589-1925', 'qeydfdep@outlook.com'),
    (313, '442-808-2468', 'kkxdypoknzny@outlook.com'),
    (314, '724-486-2238', 'lgxijruf@gmail.com'),
    (315, '475-028-4653', 'qlvzafk@outlook.com'),
    (316, '217-988-5213', 'ofkul@geocities.org'),
    (317, '872-642-5625', NULL),
    (318, '489-925-4857', 'ahyhkqqb@hotmail.com'),
    (319, '379-551-3064', 'fgooykyrm@gmail.com'),
    (320, NULL, 'fpsemi@geocities.org'),
    (321, '451-638-2640', NULL),
    (322, '401-786-3735', 'ipnvrixpg@outlook.com'),
    (323, '406-149-2755', 'wkbpmtvokk@geocities.org'),
    (324, '709-495-7038', 'shlqvreon@outlook.com'),
    (325, '115-513-1664', 'nwcgkw@hotmail.com'),
    (326, '397-842-5032', 'afjknfctwyfg@hotmail.com'),
    (327, '714-658-3719', 'wlccdoyyu@geocities.org'),
